date,symbol,adv_shares
2023-01-17,000858.SZ,135566.48
2023-01-17,002594.SZ,175603.19
2023-01-17,600036.SH,327216.11
2023-01-18,600000.SH,272797.34
2023-01-18,600519.SH,164241.77
2023-01-18,000001.SZ,360428.31
2023-01-18,300750.SZ,144064.01
2023-01-18,601318.SH,128473.68
2023-01-18,000858.SZ,114913.93
2023-01-18,002594.SZ,308294.8
2023-01-18,600036.SH,213794.0
2023-01-19,600000.SH,355771.75
2023-01-19,600519.SH,131863.66
2023-01-19,000001.SZ,181779.36
2023-01-19,300750.SZ,188216.1
2023-01-19,601318.SH,127146.55
2023-01-19,000858.SZ,309688.51
2023-01-19,002594.SZ,183954.83
2023-01-19,600036.SH,111762.79
2023-01-20,600000.SH,190986.21
2023-01-20,600519.SH,168267.83
2023-01-20,000001.SZ,253157.01
2023-01-20,300750.SZ,113117.28
2023-01-20,601318.SH,386336.7
2023-01-20,000858.SZ,196052.14
2023-01-20,002594.SZ,214079.49
2023-01-20,600036.SH,309443.42
2023-01-23,600000.SH,261286.51
2023-01-23,600519.SH,224594.98
2023-01-23,000001.SZ,252043.6
2023-01-23,300750.SZ,253527.5
2023-01-23,601318.SH,245829.35
2023-01-23,000858.SZ,164712.34
2023-01-23,002594.SZ,273391.81
2023-01-23,600036.SH,146473.96
2023-01-24,600000.SH,331791.69
2023-01-24,600519.SH,170250.52
2023-01-24,000001.SZ,153296.5
2023-01-24,300750.SZ,187091.38
2023-01-24,601318.SH,145353.19
2023-01-24,000858.SZ,171713.12
2023-01-24,002594.SZ,309464.51
2023-01-24,600036.SH,118990.66
2023-01-25,600000.SH,219418.04
2023-01-25,600519.SH,137530.08
2023-01-25,000001.SZ,114527.75
2023-01-25,300750.SZ,145933.77
2023-01-25,601318.SH,305676.7
2023-01-25,000858.SZ,301926.09
2023-01-25,002594.SZ,210586.56
2023-01-25,600036.SH,132137.13
2023-01-26,600000.SH,302773.41
2023-01-26,600519.SH,255172.45
2023-01-26,000001.SZ,359683.86
2023-01-26,300750.SZ,261267.55
2023-01-26,601318.SH,279700.85
2023-01-26,000858.SZ,438475.01
2023-01-26,002594.SZ,210218.87
2023-01-26,600036.SH,105591.19
2023-01-27,600000.SH,224556.22
2023-01-27,600519.SH,148369.62
2023-01-27,000001.SZ,237430.02
2023-01-27,300750.SZ,318165.84
2023-01-27,601318.SH,305020.02
2023-01-27,000858.SZ,305543.1
2023-01-27,002594.SZ,105009.44
2023-01-27,600036.SH,496571.62
2023-01-30,600000.SH,301618.62
2023-01-30,600519.SH,197214.05
2023-01-30,000001.SZ,252695.59
2023-01-30,300750.SZ,270988.6
2023-01-30,601318.SH,88956.08
2023-01-30,000858.SZ,168493.35
2023-01-30,002594.SZ,275595.12
2023-01-30,600036.SH,214155.77
2023-01-31,600000.SH,212399.39
2023-01-31,600519.SH,273374.74
2023-01-31,000001.SZ,115894.49
2023-01-31,300750.SZ,187234.19
2023-01-31,601318.SH,302776.51
2023-01-31,000858.SZ,160828.42
2023-01-31,002594.SZ,196127.51
2023-01-31,600036.SH,301921.35
2023-02-01,600000.SH,346107.08
2023-02-01,600519.SH,152843.88
2023-02-01,000001.SZ,188491.27
2023-02-01,300750.SZ,188127.42
2023-02-01,601318.SH,192658.29
2023-02-01,000858.SZ,238552.09
2023-02-01,002594.SZ,237501.6
2023-02-01,600036.SH,269698.97
2023-02-02,600000.SH,216731.07
2023-02-02,600519.SH,247066.48
2023-02-02,000001.SZ,193122.33
2023-02-02,300750.SZ,161893.59
2023-02-02,601318.SH,144298.29
2023-02-02,000858.SZ,210914.45
2023-02-02,002594.SZ,304705.27
2023-02-02,600036.SH,260987.52
2023-02-03,600000.SH,331608.48
2023-02-03,600519.SH,190678.72
2023-02-03,000001.SZ,338977.08
2023-02-03,300750.SZ,320518.11
2023-02-03,601318.SH,187192.68
2023-02-03,000858.SZ,192356.93
2023-02-03,002594.SZ,154678.76
2023-02-03,600036.SH,136334.67
2023-02-06,600000.SH,182746.52
2023-02-06,600519.SH,132889.82
2023-02-06,000001.SZ,181304.57
2023-02-06,300750.SZ,150696.25
2023-02-06,601318.SH,310046.06
2023-02-06,000858.SZ,174349.98
2023-02-06,002594.SZ,161169.99
2023-02-06,600036.SH,459953.83
2023-02-07,600000.SH,188762.16
2023-02-07,600519.SH,154966.1
2023-02-07,000001.SZ,305093.4
2023-02-07,300750.SZ,216780.92
2023-02-07,601318.SH,164938.87
2023-02-07,000858.SZ,161782.4
2023-02-07,002594.SZ,246376.35
2023-02-07,600036.SH,244659.09
2023-02-08,600000.SH,256415.89
2023-02-08,600519.SH,226066.95
2023-02-08,000001.SZ,194330.08
2023-02-08,300750.SZ,112311.1
2023-02-08,601318.SH,125309.91
2023-02-08,000858.SZ,180288.13
2023-02-08,002594.SZ,182750.34
2023-02-08,600036.SH,187858.12
2023-02-09,600000.SH,202748.08
2023-02-09,600519.SH,279037.06
2023-02-09,000001.SZ,146224.58
2023-02-09,300750.SZ,283450.1
2023-02-09,601318.SH,555056.42
2023-02-09,000858.SZ,196144.51
2023-02-09,002594.SZ,311084.28
2023-02-09,600036.SH,310205.59
2023-02-10,600000.SH,231611.59
2023-02-10,600519.SH,285073.05
2023-02-10,000001.SZ,323770.92
2023-02-10,300750.SZ,359627.52
2023-02-10,601318.SH,129522.43
2023-02-10,000858.SZ,498547.03
2023-02-10,002594.SZ,236173.14
2023-02-10,600036.SH,321746.7
2023-02-13,600000.SH,250749.91
2023-02-13,600519.SH,133493.77
2023-02-13,000001.SZ,221964.82
2023-02-13,300750.SZ,116136.47
2023-02-13,601318.SH,406297.98
2023-02-13,000858.SZ,362068.01
2023-02-13,002594.SZ,91567.98
2023-02-13,600036.SH,381605.89
2023-02-14,600000.SH,560259.55
2023-02-14,600519.SH,174339.18
2023-02-14,000001.SZ,108468.73
2023-02-14,300750.SZ,286982.43
2023-02-14,601318.SH,170638.31
2023-02-14,000858.SZ,260477.83
2023-02-14,002594.SZ,130322.62
2023-02-14,600036.SH,107426.86
2023-02-15,600000.SH,194569.97
2023-02-15,600519.SH,135188.95
2023-02-15,000001.SZ,263002.63
2023-02-15,300750.SZ,260582.21
2023-02-15,601318.SH,190800.26
2023-02-15,000858.SZ,359704.49
2023-02-15,002594.SZ,237451.15
2023-02-15,600036.SH,258692.94
2023-02-16,600000.SH,137001.03
2023-02-16,600519.SH,171845.45
2023-02-16,000001.SZ,141341.74
2023-02-16,300750.SZ,155729.2
2023-02-16,601318.SH,128630.48
2023-02-16,000858.SZ,201385.53
2023-02-16,002594.SZ,165982.38
2023-02-16,600036.SH,224087.2
2023-02-17,600000.SH,139177.68
2023-02-17,600519.SH,120000.34
2023-02-17,000001.SZ,187464.03
2023-02-17,300750.SZ,337070.82
2023-02-17,601318.SH,103120.07
2023-02-17,000858.SZ,358002.92
2023-02-17,002594.SZ,284185.38
2023-02-17,600036.SH,215081.26
2023-02-20,600000.SH,233696.56
2023-02-20,600519.SH,202380.55
2023-02-20,000001.SZ,290585.41
2023-02-20,300750.SZ,197758.08
2023-02-20,601318.SH,276182.64
2023-02-20,000858.SZ,293392.44
2023-02-20,002594.SZ,266515.44
2023-02-20,600036.SH,296287.99
2023-02-21,600000.SH,512056.86
2023-02-21,600519.SH,140019.54
2023-02-21,000001.SZ,432022.18
2023-02-21,300750.SZ,115446.13
2023-02-21,601318.SH,131512.42
2023-02-21,000858.SZ,125664.72
2023-02-21,002594.SZ,261172.86
2023-02-21,600036.SH,160209.13
2023-02-22,600000.SH,414494.31
2023-02-22,600519.SH,325946.62
2023-02-22,000001.SZ,105684.05
2023-02-22,300750.SZ,322742.48
2023-02-22,601318.SH,360229.16
2023-02-22,000858.SZ,220211.02
2023-02-22,002594.SZ,122821.17
2023-02-22,600036.SH,477439.49
2023-02-23,600000.SH,551989.52
2023-02-23,600519.SH,188629.04
2023-02-23,000001.SZ,215369.12
2023-02-23,300750.SZ,268601.27
2023-02-23,601318.SH,124435.37
2023-02-23,000858.SZ,206977.3
2023-02-23,002594.SZ,219953.13
2023-02-23,600036.SH,224183.35
2023-02-24,600000.SH,270646.75
2023-02-24,600519.SH,143986.16
2023-02-24,000001.SZ,210808.33
2023-02-24,300750.SZ,153368.93
2023-02-24,601318.SH,163833.01
2023-02-24,000858.SZ,107969.73
2023-02-24,002594.SZ,167153.99
2023-02-24,600036.SH,171175.0
2023-02-27,600000.SH,163328.52
2023-02-27,600519.SH,163936.05
2023-02-27,000001.SZ,378521.65
2023-02-27,300750.SZ,185677.7
2023-02-27,601318.SH,269670.52
2023-02-27,000858.SZ,182905.51
2023-02-27,002594.SZ,158672.34
2023-02-27,600036.SH,141477.63
2023-02-28,600000.SH,364067.38
2023-02-28,600519.SH,118781.0
2023-02-28,000001.SZ,109170.26
2023-02-28,300750.SZ,136223.28
2023-02-28,601318.SH,308557.46
2023-02-28,000858.SZ,165633.23
2023-02-28,002594.SZ,257096.42
2023-02-28,600036.SH,217671.49
2023-03-01,600000.SH,222889.25
2023-03-01,600519.SH,212423.32
2023-03-01,000001.SZ,155313.6
2023-03-01,300750.SZ,123210.49
2023-03-01,601318.SH,422683.3
2023-03-01,000858.SZ,156930.99
2023-03-01,002594.SZ,365066.54
2023-03-01,600036.SH,138830.44
2023-03-02,600000.SH,136771.8
2023-03-02,600519.SH,150387.96
2023-03-02,000001.SZ,121556.85
2023-03-02,300750.SZ,152664.23
2023-03-02,601318.SH,285591.89
2023-03-02,000858.SZ,233455.85
2023-03-02,002594.SZ,259944.08
2023-03-02,600036.SH,152855.13
2023-03-03,600000.SH,340954.36
2023-03-03,600519.SH,173938.3
2023-03-03,000001.SZ,166556.17
2023-03-03,300750.SZ,291874.79
2023-03-03,601318.SH,149722.24
2023-03-03,000858.SZ,298923.53
2023-03-03,002594.SZ,248473.22
2023-03-03,600036.SH,181973.99
2023-03-06,600000.SH,217995.41
2023-03-06,600519.SH,125073.21
2023-03-06,000001.SZ,243757.23
2023-03-06,300750.SZ,172875.06
2023-03-06,601318.SH,482973.3
2023-03-06,000858.SZ,357885.31
2023-03-06,002594.SZ,201733.57
2023-03-06,600036.SH,309114.11
2023-03-07,600000.SH,157150.02
2023-03-07,600519.SH,172045.18
2023-03-07,000001.SZ,163683.65
2023-03-07,300750.SZ,227182.33
2023-03-07,601318.SH,179236.71
2023-03-07,000858.SZ,206658.22
2023-03-07,002594.SZ,351856.79
2023-03-07,600036.SH,153374.34
2023-03-08,600000.SH,182633.07
2023-03-08,600519.SH,182737.42
2023-03-08,000001.SZ,324938.02
2023-03-08,300750.SZ,404520.7
2023-03-08,601318.SH,205778.01
2023-03-08,000858.SZ,321592.37
2023-03-08,002594.SZ,162048.88
2023-03-08,600036.SH,343170.58
2023-03-09,600000.SH,345655.36
2023-03-09,600519.SH,182014.79
2023-03-09,000001.SZ,396924.5
2023-03-09,300750.SZ,241481.14
2023-03-09,601318.SH,103424.3
2023-03-09,000858.SZ,143741.03
2023-03-09,002594.SZ,213078.05
2023-03-09,600036.SH,172732.15
2023-03-10,600000.SH,223997.03
2023-03-10,600519.SH,225041.33
2023-03-10,000001.SZ,237074.11
2023-03-10,300750.SZ,245832.87
2023-03-10,601318.SH,142251.48
2023-03-10,000858.SZ,419169.06
2023-03-10,002594.SZ,124005.67
2023-03-10,600036.SH,212796.72
2023-03-13,600000.SH,159819.99
2023-03-13,600519.SH,269928.78
2023-03-13,000001.SZ,156822.03
2023-03-13,300750.SZ,239537.06
2023-03-13,601318.SH,130022.54
2023-03-13,000858.SZ,213703.04
2023-03-13,002594.SZ,429201.08
2023-03-13,600036.SH,160628.92
2023-03-14,600000.SH,256128.71
2023-03-14,600519.SH,108649.82
2023-03-14,000001.SZ,420941.23
2023-03-14,300750.SZ,128915.04
2023-03-14,601318.SH,530516.27
2023-03-14,000858.SZ,225044.15
2023-03-14,002594.SZ,176858.52
2023-03-14,600036.SH,538584.24
2023-03-15,600000.SH,292989.16
2023-03-15,600519.SH,394255.56
2023-03-15,000001.SZ,233827.1
2023-03-15,300750.SZ,158159.19
2023-03-15,601318.SH,155285.75
2023-03-15,000858.SZ,177221.59
2023-03-15,002594.SZ,385716.66
2023-03-15,600036.SH,190884.92
2023-03-16,600000.SH,116405.9
2023-03-16,600519.SH,173137.69
2023-03-16,000001.SZ,278313.25
2023-03-16,300750.SZ,500488.03
2023-03-16,601318.SH,153876.21
2023-03-16,000858.SZ,290785.43
2023-03-16,002594.SZ,164886.61
2023-03-16,600036.SH,337289.11
2023-03-17,600000.SH,339433.52
2023-03-17,600519.SH,254653.15
2023-03-17,000001.SZ,309980.9
2023-03-17,300750.SZ,531809.08
2023-03-17,601318.SH,105917.78
2023-03-17,000858.SZ,199744.43
2023-03-17,002594.SZ,213808.75
2023-03-17,600036.SH,241770.23
2023-03-20,600000.SH,178372.71
2023-03-20,600519.SH,86806.54
2023-03-20,000001.SZ,228409.3
2023-03-20,300750.SZ,326663.21
2023-03-20,601318.SH,245833.63
2023-03-20,000858.SZ,420690.8
2023-03-20,002594.SZ,225338.98
2023-03-20,600036.SH,301831.23
2023-03-21,600000.SH,367453.68
2023-03-21,600519.SH,200380.33
2023-03-21,000001.SZ,235786.6
2023-03-21,300750.SZ,189673.47
2023-03-21,601318.SH,326079.1
2023-03-21,000858.SZ,161190.83
2023-03-21,002594.SZ,347441.85
2023-03-21,600036.SH,130596.35
2023-03-22,600000.SH,190678.93
2023-03-22,600519.SH,211088.96
2023-03-22,000001.SZ,189850.78
2023-03-22,300750.SZ,260637.24
2023-03-22,601318.SH,252545.75
2023-03-22,000858.SZ,163158.64
2023-03-22,002594.SZ,393783.81
2023-03-22,600036.SH,250277.99
2023-03-23,600000.SH,113227.12
2023-03-23,600519.SH,127886.93
2023-03-23,000001.SZ,136571.74
2023-03-23,300750.SZ,289556.4
2023-03-23,601318.SH,224480.18
2023-03-23,000858.SZ,216137.64
2023-03-23,002594.SZ,205316.02
2023-03-23,600036.SH,469688.63
2023-03-24,600000.SH,243027.09
2023-03-24,600519.SH,144822.32
2023-03-24,000001.SZ,161761.16
2023-03-24,300750.SZ,263515.27
2023-03-24,601318.SH,183368.74
2023-03-24,000858.SZ,116078.57
2023-03-24,002594.SZ,144844.74
2023-03-24,600036.SH,110271.44
2023-03-27,600000.SH,131836.8
2023-03-27,600519.SH,144513.95
2023-03-27,000001.SZ,312249.9
2023-03-27,300750.SZ,235159.79
2023-03-27,601318.SH,566298.25
2023-03-27,000858.SZ,153045.22
2023-03-27,002594.SZ,92163.23
2023-03-27,600036.SH,289152.88
2023-03-28,600000.SH,187744.79
2023-03-28,600519.SH,169666.62
2023-03-28,000001.SZ,158759.83
2023-03-28,300750.SZ,353338.58
2023-03-28,601318.SH,203871.01
2023-03-28,000858.SZ,115119.15
2023-03-28,002594.SZ,135210.35
2023-03-28,600036.SH,166029.19
2023-03-29,600000.SH,293127.55
2023-03-29,600519.SH,408653.57
2023-03-29,000001.SZ,324873.49
2023-03-29,300750.SZ,283878.72
2023-03-29,601318.SH,255817.11
2023-03-29,000858.SZ,165913.05
2023-03-29,002594.SZ,427400.08
2023-03-29,600036.SH,258687.93
2023-03-30,600000.SH,268681.29
2023-03-30,600519.SH,214864.16
2023-03-30,000001.SZ,249238.97
2023-03-30,300750.SZ,146793.37
2023-03-30,601318.SH,307530.56
2023-03-30,000858.SZ,360072.25
2023-03-30,002594.SZ,179639.14
2023-03-30,600036.SH,235402.26
2023-03-31,600000.SH,156521.81
2023-03-31,600519.SH,167975.26
2023-03-31,000001.SZ,170526.48
2023-03-31,300750.SZ,258328.37
2023-03-31,601318.SH,226168.11
2023-03-31,000858.SZ,217912.43
2023-03-31,002594.SZ,127884.81
2023-03-31,600036.SH,417506.93
2023-04-03,600000.SH,226641.19
2023-04-03,600519.SH,127665.57
2023-04-03,000001.SZ,240608.46
2023-04-03,300750.SZ,139099.36
2023-04-03,601318.SH,100843.74
2023-04-03,000858.SZ,181641.0
2023-04-03,002594.SZ,519611.93
2023-04-03,600036.SH,141800.16
2023-04-04,600000.SH,225768.0
2023-04-04,600519.SH,118748.42
2023-04-04,000001.SZ,220842.7
2023-04-04,300750.SZ,193367.86
2023-04-04,601318.SH,216131.21
2023-04-04,000858.SZ,135434.08
2023-04-04,002594.SZ,199983.84
2023-04-04,600036.SH,291987.47
2023-04-05,600000.SH,160020.45
2023-04-05,600519.SH,330320.01
2023-04-05,000001.SZ,189516.6
2023-04-05,300750.SZ,98307.79
2023-04-05,601318.SH,218246.42
2023-04-05,000858.SZ,138503.89
2023-04-05,002594.SZ,244315.16
2023-04-05,600036.SH,117989.01
2023-04-06,600000.SH,200369.05
2023-04-06,600519.SH,165701.27
2023-04-06,000001.SZ,400188.51
2023-04-06,300750.SZ,138980.92
2023-04-06,601318.SH,198242.9
2023-04-06,000858.SZ,119354.04
2023-04-06,002594.SZ,364286.16
2023-04-06,600036.SH,248118.39
2023-04-07,600000.SH,226262.84
2023-04-07,600519.SH,228877.59
2023-04-07,000001.SZ,164886.89
2023-04-07,300750.SZ,193799.09
2023-04-07,601318.SH,149011.01
2023-04-07,000858.SZ,292043.21
2023-04-07,002594.SZ,176716.62
2023-04-07,600036.SH,195071.15
2023-04-10,600000.SH,237528.29
2023-04-10,600519.SH,281126.62
2023-04-10,000001.SZ,131795.88
2023-04-10,300750.SZ,375366.38
2023-04-10,601318.SH,155626.79
2023-04-10,000858.SZ,259358.65
2023-04-10,002594.SZ,323738.55
2023-04-10,600036.SH,109794.27
2023-04-11,600000.SH,109643.6
2023-04-11,600519.SH,131886.28
2023-04-11,000001.SZ,147392.93
2023-04-11,300750.SZ,355448.54
2023-04-11,601318.SH,189768.98
2023-04-11,000858.SZ,318756.85
2023-04-11,002594.SZ,152763.84
2023-04-11,600036.SH,132299.3
2023-04-12,600000.SH,128235.31
2023-04-12,600519.SH,225040.36
2023-04-12,000001.SZ,248881.9
2023-04-12,300750.SZ,139997.82
2023-04-12,601318.SH,177587.02
2023-04-12,000858.SZ,186716.34
2023-04-12,002594.SZ,152938.75
2023-04-12,600036.SH,254716.55
2023-04-13,600000.SH,185854.28
2023-04-13,600519.SH,113831.64
2023-04-13,000001.SZ,201105.04
2023-04-13,300750.SZ,261879.77
2023-04-13,601318.SH,274026.41
2023-04-13,000858.SZ,151199.77
2023-04-13,002594.SZ,379425.66
2023-04-13,600036.SH,277023.16
2023-04-14,600000.SH,191340.0
2023-04-14,600519.SH,195692.5
2023-04-14,000001.SZ,148043.67
2023-04-14,300750.SZ,632479.19
2023-04-14,601318.SH,150573.11
2023-04-14,000858.SZ,181961.97
2023-04-14,002594.SZ,229397.73
2023-04-14,600036.SH,137867.91
2023-04-17,600000.SH,173961.05
2023-04-17,600519.SH,180074.76
2023-04-17,000001.SZ,406631.92
2023-04-17,300750.SZ,227006.09
2023-04-17,601318.SH,182071.59
2023-04-17,000858.SZ,285353.89
2023-04-17,002594.SZ,144099.8
2023-04-17,600036.SH,175284.63
2023-04-18,600000.SH,269194.82
2023-04-18,600519.SH,126060.39
2023-04-18,000001.SZ,138223.06
2023-04-18,300750.SZ,182098.38
2023-04-18,601318.SH,149790.69
2023-04-18,000858.SZ,620205.67
2023-04-18,002594.SZ,206514.98
2023-04-18,600036.SH,233918.39
2023-04-19,600000.SH,231764.64
2023-04-19,600519.SH,123849.45
2023-04-19,000001.SZ,127423.66
2023-04-19,300750.SZ,152077.41
2023-04-19,601318.SH,225626.72
2023-04-19,000858.SZ,430607.51
2023-04-19,002594.SZ,198008.29
2023-04-19,600036.SH,317377.92
2023-04-20,600000.SH,158601.33
2023-04-20,600519.SH,224082.18
2023-04-20,000001.SZ,126010.6
2023-04-20,300750.SZ,456598.09
2023-04-20,601318.SH,223863.8
2023-04-20,000858.SZ,320002.35
2023-04-20,002594.SZ,312101.08
2023-04-20,600036.SH,260031.39
2023-04-21,600000.SH,213961.57
2023-04-21,600519.SH,135377.71
2023-04-21,000001.SZ,175366.62
2023-04-21,300750.SZ,247320.27
2023-04-21,601318.SH,509953.61
2023-04-21,000858.SZ,229184.53
2023-04-21,002594.SZ,85541.08
2023-04-21,600036.SH,199012.35
2023-04-24,600000.SH,194756.33
2023-04-24,600519.SH,138377.73
2023-04-24,000001.SZ,114308.24
2023-04-24,300750.SZ,250799.34
2023-04-24,601318.SH,208297.45
2023-04-24,000858.SZ,168220.73
2023-04-24,002594.SZ,149108.9
2023-04-24,600036.SH,424383.09
2023-04-25,600000.SH,444371.85
2023-04-25,600519.SH,182538.58
2023-04-25,000001.SZ,186618.3
2023-04-25,300750.SZ,103372.68
2023-04-25,601318.SH,189978.63
2023-04-25,000858.SZ,172275.18
2023-04-25,002594.SZ,112951.66
2023-04-25,600036.SH,158481.01
2023-04-26,600000.SH,357519.75
2023-04-26,600519.SH,229834.57
2023-04-26,000001.SZ,190664.73
2023-04-26,300750.SZ,178998.45
2023-04-26,601318.SH,188988.46
2023-04-26,000858.SZ,440413.7
2023-04-26,002594.SZ,385876.01
2023-04-26,600036.SH,227440.16
2023-04-27,600000.SH,363965.08
2023-04-27,600519.SH,333806.78
2023-04-27,000001.SZ,167838.74
2023-04-27,300750.SZ,171368.84
2023-04-27,601318.SH,168331.88
2023-04-27,000858.SZ,421573.68
2023-04-27,002594.SZ,155981.27
2023-04-27,600036.SH,213825.51
2023-04-28,600000.SH,287011.29
2023-04-28,600519.SH,285591.83
2023-04-28,000001.SZ,183713.21
2023-04-28,300750.SZ,316200.58
2023-04-28,601318.SH,248663.21
2023-04-28,000858.SZ,323614.32
2023-04-28,002594.SZ,270893.35
2023-04-28,600036.SH,135618.85
2023-05-01,600000.SH,310309.54
2023-05-01,600519.SH,607235.24
2023-05-01,000001.SZ,212116.38
2023-05-01,300750.SZ,326897.13
2023-05-01,601318.SH,347989.64
2023-05-01,000858.SZ,255360.0
2023-05-01,002594.SZ,182462.71
2023-05-01,600036.SH,203761.99
2023-05-02,600000.SH,166547.42
2023-05-02,600519.SH,424165.81
2023-05-02,000001.SZ,364524.24
2023-05-02,300750.SZ,279194.96
2023-05-02,601318.SH,206380.92
2023-05-02,000858.SZ,189944.47
2023-05-02,002594.SZ,311057.58
2023-05-02,600036.SH,261102.75
2023-05-03,600000.SH,161488.27
2023-05-03,600519.SH,165514.08
2023-05-03,000001.SZ,136331.35
2023-05-03,300750.SZ,152566.54
2023-05-03,601318.SH,267060.92
2023-05-03,000858.SZ,253548.0
2023-05-03,002594.SZ,161088.72
2023-05-03,600036.SH,573821.99
2023-05-04,600000.SH,135389.66
2023-05-04,600519.SH,214284.18
2023-05-04,000001.SZ,302583.57
2023-05-04,300750.SZ,149953.45
2023-05-04,601318.SH,239541.38
2023-05-04,000858.SZ,245736.14
2023-05-04,002594.SZ,182725.81
2023-05-04,600036.SH,297315.14
2023-05-05,600000.SH,158902.24
2023-05-05,600519.SH,286397.57
2023-05-05,000001.SZ,150587.88
2023-05-05,300750.SZ,300845.1
2023-05-05,601318.SH,134990.06
2023-05-05,000858.SZ,206403.53
2023-05-05,002594.SZ,227497.13
2023-05-05,600036.SH,169312.89
2023-05-08,600000.SH,105875.49
2023-05-08,600519.SH,291992.71
2023-05-08,000001.SZ,221907.28
2023-05-08,300750.SZ,199182.1
2023-05-08,601318.SH,233972.8
2023-05-08,000858.SZ,310833.99
2023-05-08,002594.SZ,170467.91
2023-05-08,600036.SH,223576.29
2023-05-09,600000.SH,139551.94
2023-05-09,600519.SH,286222.06
2023-05-09,000001.SZ,263505.58
2023-05-09,300750.SZ,336948.48
2023-05-09,601318.SH,487244.13
2023-05-09,000858.SZ,158242.05
2023-05-09,002594.SZ,149287.91
2023-05-09,600036.SH,368852.39
2023-05-10,600000.SH,289433.39
2023-05-10,600519.SH,233328.49
2023-05-10,000001.SZ,226391.31
2023-05-10,300750.SZ,253544.13
2023-05-10,601318.SH,362509.12
2023-05-10,000858.SZ,294934.75
2023-05-10,002594.SZ,265075.13
2023-05-10,600036.SH,123398.09
2023-05-11,600000.SH,360998.73
2023-05-11,600519.SH,424033.48
2023-05-11,000001.SZ,179016.14
2023-05-11,300750.SZ,335559.78
2023-05-11,601318.SH,182377.32
2023-05-11,000858.SZ,139444.36
2023-05-11,002594.SZ,193959.47
2023-05-11,600036.SH,109308.94
2023-05-12,600000.SH,216851.91
2023-05-12,600519.SH,127779.61
2023-05-12,000001.SZ,334969.59
2023-05-12,300750.SZ,210216.82
2023-05-12,601318.SH,353514.47
2023-05-12,000858.SZ,149408.19
2023-05-12,002594.SZ,172795.36
2023-05-12,600036.SH,200950.74
2023-05-15,600000.SH,132669.95
2023-05-15,600519.SH,161850.15
2023-05-15,000001.SZ,132092.47
