date,symbol,side,shares
2023-01-26,600000.SH,buy,16192.91
2023-01-26,600519.SH,buy,16973.48
2023-01-26,002594.SZ,buy,13811.66
2023-01-27,600000.SH,sell,14333.07
2023-01-27,300750.SZ,sell,19169.06
2023-01-27,601318.SH,sell,11284.84
2023-01-30,300750.SZ,buy,13242.27
2023-01-30,000858.SZ,sell,12241.35
2023-01-30,002594.SZ,buy,19748.69
2023-01-31,600000.SH,buy,9933.66
2023-01-31,600519.SH,sell,14361.55
2023-01-31,300750.SZ,sell,10134.35
2023-02-01,000001.SZ,buy,7942.84
2023-02-01,601318.SH,buy,9698.7
2023-02-01,600036.SH,buy,11115.04
2023-02-02,300750.SZ,sell,8820.89
2023-02-02,000858.SZ,buy,14923.23
2023-02-02,600036.SH,buy,18332.2
2023-02-03,000001.SZ,sell,13502.91
2023-02-03,601318.SH,sell,9508.25
2023-02-03,002594.SZ,sell,10461.16
2023-02-06,600519.SH,sell,10170.88
2023-02-06,601318.SH,buy,14026.6
2023-02-06,002594.SZ,sell,7792.83
2023-02-07,600000.SH,buy,9363.12
2023-02-07,600519.SH,sell,5771.41
2023-02-07,300750.SZ,buy,9753.4
2023-02-08,000001.SZ,buy,7398.21
2023-02-08,601318.SH,sell,9290.68
2023-02-08,600036.SH,buy,11291.93
2023-02-09,600519.SH,buy,13817.13
2023-02-09,000858.SZ,buy,12002.23
2023-02-09,002594.SZ,sell,13637.32
2023-02-10,600000.SH,buy,15877.48
2023-02-10,000001.SZ,sell,16200.92
2023-02-10,300750.SZ,buy,18903.88
2023-02-13,600000.SH,buy,13364.19
2023-02-13,601318.SH,sell,18702.01
2023-02-13,600036.SH,buy,14316.83
2023-02-14,300750.SZ,sell,16228.35
2023-02-14,601318.SH,buy,10283.97
2023-02-14,002594.SZ,buy,9521.36
2023-02-15,600000.SH,buy,21247.1
2023-02-15,000858.SZ,sell,9569.69
2023-02-15,002594.SZ,buy,7741.37
2023-02-16,600000.SH,sell,13347.14
2023-02-16,300750.SZ,buy,9951.39
2023-02-16,000858.SZ,buy,19621.67
2023-02-17,600000.SH,sell,11118.6
2023-02-17,000001.SZ,sell,18325.28
2023-02-17,600036.SH,sell,10099.79
2023-02-20,000001.SZ,buy,14060.34
2023-02-20,300750.SZ,buy,15464.9
2023-02-20,000858.SZ,buy,21472.97
2023-02-21,600519.SH,buy,8170.82
2023-02-21,300750.SZ,sell,6398.58
2023-02-21,002594.SZ,sell,16952.62
2023-02-22,600519.SH,sell,17268.12
2023-02-22,601318.SH,buy,20616.17
2023-02-22,000858.SZ,sell,8072.74
2023-02-23,600000.SH,buy,21186.98
2023-02-23,300750.SZ,sell,9993.3
2023-02-23,601318.SH,sell,6821.97
2023-02-24,000001.SZ,sell,14404.18
2023-02-24,601318.SH,buy,10892.78
2023-02-24,000858.SZ,buy,5820.86
2023-02-27,600000.SH,buy,7771.45
2023-02-27,600519.SH,sell,16362.57
2023-02-27,000001.SZ,sell,20801.58
2023-02-28,600000.SH,buy,12037.56
2023-02-28,601318.SH,sell,16054.79
2023-02-28,000858.SZ,buy,6737.92
2023-03-01,600519.SH,sell,11908.62
2023-03-01,601318.SH,buy,17820.62
2023-03-01,600036.SH,sell,7363.16
2023-03-02,600000.SH,buy,12204.19
2023-03-02,601318.SH,buy,23879.9
2023-03-02,600036.SH,buy,11270.53
2023-03-03,600000.SH,buy,15110.27
2023-03-03,000001.SZ,buy,9844.7
2023-03-03,600036.SH,buy,12601.32
2023-03-06,600000.SH,sell,14523.94
2023-03-06,000001.SZ,sell,17055.99
2023-03-06,300750.SZ,sell,11794.27
2023-03-07,600000.SH,buy,6616.63
2023-03-07,300750.SZ,sell,7042.57
2023-03-07,002594.SZ,sell,10842.36
2023-03-08,300750.SZ,buy,25594.95
2023-03-08,601318.SH,buy,18783.28
2023-03-08,002594.SZ,sell,6699.21
2023-03-09,000001.SZ,buy,19158.75
2023-03-09,000858.SZ,buy,8450.72
2023-03-09,002594.SZ,buy,14411.53
2023-03-10,600519.SH,buy,13402.62
2023-03-10,000001.SZ,sell,18143.24
2023-03-10,002594.SZ,buy,5565.9
2023-03-13,600519.SH,buy,19706.16
2023-03-13,601318.SH,buy,9440.57
2023-03-13,002594.SZ,buy,21188.51
2023-03-14,600519.SH,buy,10036.0
2023-03-14,300750.SZ,sell,9011.61
2023-03-14,002594.SZ,sell,11906.06
2023-03-15,600519.SH,sell,27068.4
2023-03-15,002594.SZ,buy,20586.87
2023-03-15,600036.SH,buy,10242.05
2023-03-16,600000.SH,buy,10992.23
2023-03-16,000001.SZ,sell,11280.93
2023-03-16,002594.SZ,sell,10598.79
2023-03-17,600000.SH,buy,21316.37
2023-03-17,300750.SZ,sell,20529.2
2023-03-17,601318.SH,buy,9133.77
2023-03-20,000001.SZ,sell,8312.35
2023-03-20,601318.SH,sell,11594.73
2023-03-20,002594.SZ,sell,8942.87
2023-03-21,600000.SH,sell,14738.73
2023-03-21,000001.SZ,buy,18046.46
2023-03-21,000858.SZ,sell,11947.54
2023-03-22,000001.SZ,sell,11923.92
2023-03-22,601318.SH,sell,11418.14
2023-03-22,600036.SH,buy,8891.46
2023-03-23,000001.SZ,sell,6360.04
2023-03-23,000858.SZ,buy,12171.33
2023-03-23,002594.SZ,buy,17678.07
2023-03-24,600519.SH,buy,8978.41
2023-03-24,601318.SH,buy,14524.54
2023-03-24,002594.SZ,sell,15779.08
2023-03-27,300750.SZ,sell,5931.78
2023-03-27,000858.SZ,sell,9050.32
2023-03-27,002594.SZ,sell,9406.86
2023-03-28,600000.SH,sell,14935.36
2023-03-28,600519.SH,sell,8505.52
2023-03-28,000001.SZ,buy,9146.5
2023-03-29,600000.SH,buy,10793.7
2023-03-29,600519.SH,sell,26108.83
2023-03-29,000858.SZ,sell,9563.3
2023-03-30,600000.SH,sell,11763.12
2023-03-30,600519.SH,sell,8041.06
2023-03-30,000001.SZ,sell,8847.72
2023-03-31,600000.SH,buy,9786.68
2023-03-31,600519.SH,buy,11301.43
2023-03-31,000858.SZ,buy,9136.71
2023-04-03,600000.SH,buy,9566.69
2023-04-03,601318.SH,sell,8107.83
2023-04-03,600036.SH,sell,12545.21
2023-04-04,000001.SZ,sell,9392.2
2023-04-04,300750.SZ,sell,7815.79
2023-04-04,601318.SH,buy,10575.48
2023-04-05,300750.SZ,buy,6862.74
2023-04-05,601318.SH,buy,10862.02
2023-04-05,000858.SZ,buy,11302.27
2023-04-06,600519.SH,buy,15161.31
2023-04-06,300750.SZ,sell,9513.37
2023-04-06,000858.SZ,buy,6620.26
2023-04-07,600519.SH,buy,7678.53
2023-04-07,000001.SZ,sell,10753.48
2023-04-07,000858.SZ,buy,18776.56
2023-04-10,000001.SZ,buy,6219.88
2023-04-10,601318.SH,buy,6548.46
2023-04-10,600036.SH,buy,5716.77
2023-04-11,600000.SH,buy,6882.36
2023-04-11,300750.SZ,buy,21750.98
2023-04-11,002594.SZ,sell,9526.88
2023-04-12,600519.SH,sell,16366.08
2023-04-12,000858.SZ,buy,9198.17
2023-04-12,600036.SH,sell,11311.09
2023-04-13,600000.SH,sell,11883.29
2023-04-13,300750.SZ,sell,12727.59
2023-04-13,002594.SZ,sell,24115.85
2023-04-14,600519.SH,buy,9911.73
2023-04-14,000001.SZ,sell,9789.88
2023-04-14,601318.SH,buy,7923.27
2023-04-17,000858.SZ,sell,11922.75
2023-04-17,002594.SZ,buy,9556.04
2023-04-17,600036.SH,sell,11362.62
2023-04-18,000001.SZ,buy,10265.76
2023-04-18,300750.SZ,buy,9329.95
2023-04-18,600036.SH,buy,9975.32
2023-04-19,600000.SH,buy,12185.42
2023-04-19,000001.SZ,sell,8442.37
2023-04-19,601318.SH,sell,14216.11
2023-04-20,600519.SH,buy,9529.62
2023-04-20,000858.SZ,sell,19916.91
2023-04-20,600036.SH,buy,20332.47
2023-04-21,000001.SZ,buy,11517.44
2023-04-21,601318.SH,buy,24365.43
2023-04-21,000858.SZ,buy,8653.7
2023-04-24,600000.SH,sell,13855.11
2023-04-24,600519.SH,sell,7975.12
2023-04-24,601318.SH,buy,8355.85
2023-04-25,600000.SH,sell,19981.93
2023-04-25,600519.SH,buy,16886.52
2023-04-25,601318.SH,buy,12226.44
2023-04-26,601318.SH,sell,13958.1
2023-04-26,002594.SZ,buy,17948.72
2023-04-26,600036.SH,sell,15804.08
2023-04-27,600000.SH,sell,11358.14
2023-04-27,000001.SZ,sell,8513.27
2023-04-27,600036.SH,buy,9534.79
2023-04-28,600519.SH,buy,16501.34
2023-04-28,000858.SZ,sell,25968.9
2023-04-28,002594.SZ,buy,20463.13
2023-05-01,300750.SZ,buy,13238.53
2023-05-01,601318.SH,sell,15816.54
2023-05-01,000858.SZ,sell,12042.95
2023-05-02,600000.SH,sell,9549.06
2023-05-02,000858.SZ,sell,8548.15
2023-05-02,002594.SZ,buy,17905.47
2023-05-03,600000.SH,sell,9029.87
2023-05-03,300750.SZ,sell,11179.26
2023-05-03,601318.SH,buy,13435.29
2023-05-04,600000.SH,buy,13891.16
2023-05-04,000001.SZ,buy,16651.07
2023-05-04,300750.SZ,sell,8782.01
2023-05-05,600519.SH,sell,9383.6
2023-05-05,601318.SH,sell,10809.79
2023-05-05,002594.SZ,buy,14299.52
2023-05-08,600000.SH,buy,6581.61
2023-05-08,000001.SZ,buy,13442.01
2023-05-08,600036.SH,sell,7116.6
2023-05-09,600000.SH,sell,12603.25
2023-05-09,000001.SZ,buy,12371.55
2023-05-09,600036.SH,sell,18178.64
2023-05-10,600000.SH,buy,8546.39
2023-05-10,601318.SH,sell,17877.29
2023-05-10,600036.SH,sell,8370.32
2023-05-11,000858.SZ,buy,13580.72
2023-05-11,002594.SZ,sell,11671.0
2023-05-11,600036.SH,buy,9641.13
2023-05-12,600000.SH,sell,16094.49
2023-05-12,000858.SZ,buy,9611.74
2023-05-12,002594.SZ,sell,15014.73
2023-05-15,600000.SH,sell,12040.39
2023-05-15,600519.SH,sell,11461.89
2023-05-15,601318.SH,sell,9230.28
2023-05-16,600000.SH,sell,12024.38
2023-05-16,300750.SZ,sell,22074.65
2023-05-16,002594.SZ,buy,15774.08
2023-05-17,300750.SZ,buy,12502.09
2023-05-17,601318.SH,buy,12249.73
2023-05-17,000858.SZ,buy,17953.31
2023-05-18,600000.SH,buy,9605.78
2023-05-18,000001.SZ,sell,10800.05
2023-05-18,601318.SH,buy,15079.42
2023-05-19,000001.SZ,sell,16225.89
2023-05-19,300750.SZ,sell,12125.7
2023-05-19,600036.SH,buy,14887.41
2023-05-22,600519.SH,sell,15975.2
2023-05-22,601318.SH,buy,11391.94
2023-05-22,000858.SZ,buy,6853.31
2023-05-23,000001.SZ,sell,11582.67
2023-05-23,300750.SZ,buy,10607.48
2023-05-23,002594.SZ,buy,17417.96
2023-05-24,000001.SZ,buy,27467.98
2023-05-24,300750.SZ,buy,9762.02
2023-05-24,002594.SZ,sell,15575.78
2023-05-25,600000.SH,buy,15543.56
2023-05-25,600519.SH,sell,15224.16
2023-05-25,000001.SZ,sell,19411.31
2023-05-26,600000.SH,buy,10792.23
2023-05-26,601318.SH,sell,9836.78
2023-05-26,000858.SZ,sell,9447.19
2023-05-29,600519.SH,sell,6412.18
2023-05-29,300750.SZ,buy,13675.23
2023-05-29,000858.SZ,buy,9236.09
2023-05-30,600000.SH,sell,19816.95
2023-05-30,300750.SZ,sell,14446.54
2023-05-30,601318.SH,sell,8037.64
2023-05-31,600000.SH,sell,15713.38
2023-05-31,300750.SZ,sell,11341.93
2023-05-31,601318.SH,buy,9673.92
2023-06-01,600000.SH,buy,7450.13
2023-06-01,601318.SH,sell,9903.02
2023-06-01,600036.SH,sell,8949.93
2023-06-02,600000.SH,sell,10199.83
2023-06-02,000001.SZ,sell,7868.19
2023-06-02,002594.SZ,buy,16676.81
2023-06-05,600519.SH,sell,17353.6
2023-06-05,300750.SZ,sell,9547.69
2023-06-05,000858.SZ,buy,10305.25
2023-06-06,000001.SZ,sell,16060.2
2023-06-06,000858.SZ,sell,15373.86
2023-06-06,002594.SZ,sell,9797.85
2023-06-07,600519.SH,sell,8354.72
2023-06-07,300750.SZ,buy,7241.2
2023-06-07,002594.SZ,sell,10192.49
2023-06-08,300750.SZ,buy,16492.5
2023-06-08,000858.SZ,buy,24939.46
2023-06-08,002594.SZ,buy,10829.77
2023-06-09,300750.SZ,sell,24251.47
2023-06-09,601318.SH,buy,8165.53
2023-06-09,600036.SH,buy,12130.57
2023-06-12,300750.SZ,buy,9427.16
2023-06-12,601318.SH,buy,14908.68
2023-06-12,002594.SZ,sell,10063.48
2023-06-13,000001.SZ,sell,12134.58
2023-06-13,000858.SZ,buy,8349.86
2023-06-13,600036.SH,sell,18943.3
2023-06-14,300750.SZ,buy,9561.67
2023-06-14,601318.SH,sell,11357.72
2023-06-14,002594.SZ,buy,9851.85
2023-06-15,600519.SH,buy,11721.16
2023-06-15,601318.SH,sell,10689.21
2023-06-15,000858.SZ,sell,18335.18
2023-06-16,600519.SH,sell,8471.32
2023-06-16,000001.SZ,buy,8581.23
2023-06-16,600036.SH,buy,15297.84
2023-06-19,600000.SH,sell,15981.33
2023-06-19,300750.SZ,sell,24619.73
2023-06-19,000858.SZ,buy,14922.69
2023-06-20,600000.SH,sell,17947.76
2023-06-20,000858.SZ,buy,10041.12
2023-06-20,002594.SZ,buy,11312.47
2023-06-21,600000.SH,sell,9720.4
2023-06-21,300750.SZ,buy,9605.65
2023-06-21,601318.SH,sell,8739.81
2023-06-22,600000.SH,buy,11083.08
2023-06-22,600519.SH,sell,13976.95
2023-06-22,002594.SZ,buy,7270.55
2023-06-23,600519.SH,sell,14814.5
2023-06-23,300750.SZ,sell,24403.92
2023-06-23,601318.SH,buy,8600.73
2023-06-26,600000.SH,sell,10521.76
2023-06-26,600519.SH,sell,14726.33
2023-06-26,601318.SH,buy,17570.45
2023-06-27,600519.SH,sell,13548.48
2023-06-27,601318.SH,sell,8703.63
2023-06-27,600036.SH,buy,18173.43
2023-06-28,600000.SH,buy,18816.83
2023-06-28,600519.SH,buy,19111.21
2023-06-28,300750.SZ,sell,9517.69
2023-06-29,000001.SZ,sell,10972.2
2023-06-29,000858.SZ,sell,9274.96
2023-06-29,600036.SH,sell,15465.28
2023-06-30,000001.SZ,buy,16191.11
2023-06-30,601318.SH,buy,22361.84
2023-06-30,600036.SH,sell,11136.02
2023-07-03,300750.SZ,sell,11537.37
2023-07-03,601318.SH,buy,11030.24
2023-07-03,002594.SZ,sell,8957.09
2023-07-04,600000.SH,sell,17968.96
2023-07-04,000858.SZ,buy,13784.58
2023-07-04,002594.SZ,buy,16458.97
2023-07-05,600000.SH,sell,15373.9
2023-07-05,600519.SH,sell,18361.9
2023-07-05,002594.SZ,buy,11030.7
2023-07-06,600519.SH,buy,17248.71
2023-07-06,000001.SZ,buy,15248.03
2023-07-06,300750.SZ,sell,12727.79
2023-07-07,600519.SH,buy,10627.85
2023-07-07,601318.SH,sell,12930.98
2023-07-07,002594.SZ,sell,10476.78
2023-07-10,600000.SH,sell,14453.0
2023-07-10,601318.SH,buy,8657.79
2023-07-10,600036.SH,buy,13664.87
2023-07-11,300750.SZ,sell,6226.08
2023-07-11,002594.SZ,sell,11707.8
2023-07-11,600036.SH,sell,13982.56
2023-07-12,600519.SH,buy,9081.1
2023-07-12,300750.SZ,sell,7853.95
2023-07-12,000858.SZ,sell,5947.72
2023-07-13,600519.SH,sell,10333.56
2023-07-13,002594.SZ,buy,6641.33
2023-07-13,600036.SH,sell,12166.5
2023-07-14,601318.SH,buy,16803.05
2023-07-14,000858.SZ,buy,20857.56
2023-07-14,002594.SZ,sell,6118.71
2023-07-17,600519.SH,sell,10256.55
2023-07-17,601318.SH,buy,24501.78
2023-07-17,600036.SH,sell,13349.3
2023-07-18,300750.SZ,sell,16599.24
2023-07-18,000858.SZ,buy,8154.77
2023-07-18,600036.SH,buy,8019.75
2023-07-19,000001.SZ,buy,10442.8
2023-07-19,601318.SH,buy,12080.25
2023-07-19,002594.SZ,buy,7604.58
2023-07-20,600000.SH,buy,19186.53
2023-07-20,600519.SH,sell,9579.37
2023-07-20,600036.SH,sell,8117.22
2023-07-21,000001.SZ,buy,6635.48
2023-07-21,300750.SZ,sell,9648.95
2023-07-21,002594.SZ,buy,9747.43
2023-07-24,000001.SZ,buy,13900.41
2023-07-24,601318.SH,buy,10950.77
2023-07-24,000858.SZ,buy,24001.75
2023-07-25,300750.SZ,buy,12101.14
2023-07-25,000858.SZ,sell,7104.73
2023-07-25,600036.SH,buy,9552.28
2023-07-26,600000.SH,sell,17291.67
2023-07-26,000001.SZ,buy,16946.54
2023-07-26,601318.SH,sell,19342.42
2023-07-27,000001.SZ,sell,15981.68
2023-07-27,000858.SZ,buy,16979.83
2023-07-27,002594.SZ,buy,17721.16
2023-07-28,000001.SZ,sell,10108.4
2023-07-28,300750.SZ,sell,6072.95
2023-07-28,002594.SZ,buy,11937.41
2023-07-31,600519.SH,sell,14720.17
2023-07-31,000001.SZ,buy,10219.84
2023-07-31,002594.SZ,buy,10331.75
2023-08-01,600000.SH,sell,13470.65
2023-08-01,300750.SZ,sell,15044.92
2023-08-01,002594.SZ,sell,9090.89
2023-08-02,600519.SH,buy,7159.62
2023-08-02,000858.SZ,buy,19675.58
2023-08-02,600036.SH,buy,12331.62
2023-08-03,600000.SH,sell,9671.24
2023-08-03,000001.SZ,buy,16853.28
2023-08-03,000858.SZ,sell,14460.09
2023-08-04,600000.SH,buy,8483.74
2023-08-04,300750.SZ,buy,20766.39
2023-08-04,601318.SH,sell,11050.38
2023-08-07,600000.SH,sell,17724.53
2023-08-07,300750.SZ,buy,9818.27
2023-08-07,601318.SH,buy,7378.41
2023-08-08,300750.SZ,sell,17274.43
2023-08-08,601318.SH,sell,17589.83
2023-08-08,002594.SZ,sell,10541.53
2023-08-09,000001.SZ,sell,7085.07
2023-08-09,000858.SZ,buy,7260.69
2023-08-09,002594.SZ,sell,13092.36
2023-08-10,600519.SH,buy,11364.63
2023-08-10,002594.SZ,buy,9018.04
2023-08-10,600036.SH,buy,10145.35
2023-08-11,600000.SH,buy,6501.74
2023-08-11,601318.SH,sell,10006.88
2023-08-11,002594.SZ,buy,9202.32
2023-08-14,000001.SZ,sell,9853.11
2023-08-14,002594.SZ,sell,15394.51
2023-08-14,600036.SH,buy,6390.51
2023-08-15,600000.SH,buy,8750.23
2023-08-15,600519.SH,sell,9100.85
2023-08-15,600036.SH,sell,15750.28
2023-08-16,601318.SH,sell,8134.62
2023-08-16,002594.SZ,sell,6726.9
2023-08-16,600036.SH,buy,15859.11
2023-08-17,000858.SZ,buy,15989.25
2023-08-17,002594.SZ,buy,9342.09
2023-08-17,600036.SH,sell,12811.63
2023-08-18,600000.SH,sell,18048.18
2023-08-18,000858.SZ,sell,7211.21
2023-08-18,600036.SH,sell,7311.56
2023-08-21,000001.SZ,sell,18340.15
2023-08-21,601318.SH,buy,18773.8
2023-08-21,000858.SZ,sell,8352.15
2023-08-22,600000.SH,buy,8540.05
2023-08-22,601318.SH,buy,8803.72
2023-08-22,600036.SH,buy,10395.93
2023-08-23,600519.SH,buy,13882.5
2023-08-23,000001.SZ,sell,19234.75
2023-08-23,600036.SH,sell,10427.26
2023-08-24,000001.SZ,buy,19163.93
2023-08-24,601318.SH,buy,14310.93
2023-08-24,600036.SH,buy,19190.94
2023-08-25,300750.SZ,sell,6709.39
2023-08-25,000858.SZ,sell,12611.79
2023-08-25,600036.SH,buy,14869.32
2023-08-28,600000.SH,buy,10560.46
2023-08-28,601318.SH,buy,11122.64
2023-08-28,002594.SZ,sell,10684.06
2023-08-29,000001.SZ,sell,7271.66
2023-08-29,002594.SZ,sell,11886.08
2023-08-29,600036.SH,sell,8028.25
2023-08-30,600000.SH,buy,17630.67
2023-08-30,300750.SZ,buy,24497.37
2023-08-30,000858.SZ,sell,10828.79
2023-08-31,000001.SZ,sell,15770.99
2023-08-31,300750.SZ,buy,13598.85
2023-08-31,002594.SZ,buy,9590.28
2023-09-01,600519.SH,buy,15274.53
2023-09-01,000001.SZ,buy,18861.68
2023-09-01,000858.SZ,buy,8717.97
2023-09-04,600000.SH,buy,8344.45
2023-09-04,600519.SH,buy,21736.81
2023-09-04,000001.SZ,buy,11167.51
2023-09-05,600000.SH,sell,11211.86
2023-09-05,600519.SH,buy,16993.31
2023-09-05,000858.SZ,sell,10857.97
2023-09-06,600000.SH,buy,11810.66
2023-09-06,300750.SZ,sell,9171.58
2023-09-06,600036.SH,buy,13109.13
2023-09-07,000001.SZ,buy,14622.81
2023-09-07,002594.SZ,sell,11427.54
2023-09-07,600036.SH,sell,17916.15
2023-09-08,300750.SZ,sell,6982.91
2023-09-08,002594.SZ,sell,19791.68
2023-09-08,600036.SH,sell,9739.94
2023-09-11,300750.SZ,buy,19078.49
2023-09-11,601318.SH,buy,12014.47
2023-09-11,002594.SZ,sell,10734.67
2023-09-12,600000.SH,sell,15349.15
2023-09-12,002594.SZ,buy,11554.84
2023-09-12,600036.SH,sell,15567.1
2023-09-13,000001.SZ,buy,9005.72
2023-09-13,000858.SZ,sell,16027.45
2023-09-13,600036.SH,buy,11273.61
2023-09-14,600000.SH,buy,8179.41
2023-09-14,300750.SZ,buy,12013.67
2023-09-14,000858.SZ,sell,7818.92
2023-09-15,600519.SH,sell,6503.43
2023-09-15,000001.SZ,buy,8596.97
2023-09-15,300750.SZ,sell,9662.08
2023-09-18,300750.SZ,buy,9604.41
2023-09-18,000858.SZ,buy,12053.15
2023-09-18,600036.SH,sell,14082.01
2023-09-19,600519.SH,sell,6726.09
2023-09-19,300750.SZ,sell,9870.43
2023-09-19,600036.SH,sell,5648.28
2023-09-20,600000.SH,buy,18445.23
2023-09-20,600519.SH,sell,11113.54
2023-09-20,000001.SZ,sell,7229.27
2023-09-21,600000.SH,buy,15309.73
2023-09-21,300750.SZ,sell,11426.56
2023-09-21,002594.SZ,sell,9848.55
2023-09-22,600519.SH,buy,10558.78
2023-09-22,300750.SZ,sell,8985.71
2023-09-22,000858.SZ,sell,8812.39
2023-09-25,601318.SH,sell,7304.64
2023-09-25,000858.SZ,buy,17173.46
2023-09-25,600036.SH,buy,6181.04
2023-09-26,600000.SH,buy,26195.93
2023-09-26,000001.SZ,buy,5835.16
2023-09-26,601318.SH,sell,8454.82
2023-09-27,600519.SH,buy,12344.34
2023-09-27,000001.SZ,buy,20602.02
2023-09-27,000858.SZ,sell,9319.43
2023-09-28,300750.SZ,buy,10147.11
2023-09-28,601318.SH,sell,11721.21
2023-09-28,600036.SH,sell,7005.64
2023-09-29,600519.SH,sell,8799.44
2023-09-29,000858.SZ,sell,17263.65
2023-09-29,600036.SH,sell,15674.52
2023-10-02,600000.SH,buy,8871.6
2023-10-02,300750.SZ,sell,13687.58
2023-10-02,000858.SZ,sell,8069.65
2023-10-03,601318.SH,sell,11118.84
2023-10-03,000858.SZ,sell,10029.96
2023-10-03,600036.SH,sell,12207.66
2023-10-04,600519.SH,sell,16948.34
2023-10-04,000001.SZ,buy,11075.57
2023-10-04,002594.SZ,buy,10639.41
2023-10-05,600000.SH,sell,14085.71
2023-10-05,000858.SZ,buy,8265.16
2023-10-05,002594.SZ,sell,16262.77
2023-10-06,300750.SZ,buy,13715.42
2023-10-06,002594.SZ,buy,5976.45
2023-10-06,600036.SH,buy,9752.53
2023-10-09,601318.SH,sell,6664.86
2023-10-09,002594.SZ,sell,7784.44
2023-10-09,600036.SH,buy,11925.61
2023-10-10,600000.SH,sell,6043.47
2023-10-10,300750.SZ,sell,6710.65
2023-10-10,000858.SZ,buy,5877.92
2023-10-11,600519.SH,buy,14918.65
2023-10-11,300750.SZ,sell,13317.47
2023-10-11,601318.SH,buy,9289.35
2023-10-12,600000.SH,sell,15785.28
2023-10-12,000001.SZ,sell,12160.61
2023-10-12,600036.SH,sell,7661.6
2023-10-13,600519.SH,sell,29770.94
2023-10-13,000001.SZ,sell,12577.6
2023-10-13,002594.SZ,buy,15008.88
2023-10-16,000001.SZ,sell,13494.28
2023-10-16,300750.SZ,sell,11161.43
2023-10-16,000858.SZ,sell,16706.29
2023-10-17,000001.SZ,sell,13768.98
2023-10-17,002594.SZ,sell,10286.15
2023-10-17,600036.SH,sell,14785.46
2023-10-18,600000.SH,sell,13871.97
2023-10-18,000858.SZ,buy,7397.69
2023-10-18,002594.SZ,sell,12175.87
2023-10-19,300750.SZ,buy,14696.52
2023-10-19,000858.SZ,sell,13632.51
2023-10-19,002594.SZ,buy,15844.67
2023-10-20,600519.SH,sell,11495.17
2023-10-20,601318.SH,sell,15216.69
2023-10-20,002594.SZ,buy,19987.29
2023-10-23,000001.SZ,sell,21772.68
2023-10-23,000858.SZ,sell,5973.4
2023-10-23,600036.SH,sell,11469.83
2023-10-24,600519.SH,sell,8930.52
2023-10-24,002594.SZ,sell,22067.82
2023-10-24,600036.SH,buy,15598.65
2023-10-25,600000.SH,buy,8588.88
2023-10-25,300750.SZ,buy,16030.28
2023-10-25,600036.SH,sell,16938.75
2023-10-26,600519.SH,sell,12280.96
2023-10-26,000858.SZ,buy,7928.09
2023-10-26,600036.SH,buy,11489.94
2023-10-27,600000.SH,sell,22549.68
2023-10-27,002594.SZ,sell,14754.31
2023-10-27,600036.SH,buy,23909.56
2023-10-30,600000.SH,buy,6560.26
2023-10-30,300750.SZ,sell,8319.06
2023-10-30,002594.SZ,buy,8064.67
2023-10-31,600000.SH,sell,25990.68
2023-10-31,601318.SH,buy,20357.7
2023-10-31,002594.SZ,buy,10170.98
2023-11-01,600000.SH,sell,6613.93
2023-11-01,000858.SZ,sell,27244.13
